Unnamed: 0,filename,offset,end,freq_min,freq_max,start,sound_id_species,kw_ecotype,pod,call_type,comments,annotator,path,duration
0,JASCOAMARHYDROPHONEC000682_20171103T150328.359Z.wav,52.88777755,54.53824566,1588.4,2322.5,52.888,Vessel Noise,,,,Engine noise,,/data/audio/JASCO/ClipExport/false,1.650245659999996
1,JASCOAMARHYDROPHONEC000682_20171103T150328.359Z.wav,78.61329791,79.4504381,1444.0,2960.3,78.613,Vessel Noise,,,,Engine noise,,/data/audio/JASCO/ClipExport/false,0.8374381
2,JASCOAMARHYDROPHONEC000682_20171103T150328.359Z.wav,149.3344621,151.2182358,1829.1,4933.8,149.334,Vessel Noise,,,,Engine noise,,/data/audio/JASCO/ClipExport/false,1.884235799999999
3,JASCOAMARHYDROPHONEC000682_20171103T150328.359Z.wav,152.290126,153.5092114,0.0,8387.5,152.29,Vessel Noise,,,,Engine noise,,/data/audio/JASCO/ClipExport/false,1.219211400000006
4,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,300.096937,2.116703599999957,288.8,5679.9,0.097,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,2.019703599999957
5,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,305.1585113,6.821561000000039,1552.3,5523.5,5.159,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.6625610000000393
6,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,307.7487678,9.497767799999997,4272.0,5030.1,7.749,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.748767799999996
7,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,321.4802895,23.807585299999957,1407.9,5511.4,21.48,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,2.327585299999953
8,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,326.3891616,28.113137299999995,5018.1,5463.3,26.389,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.724137299999995
9,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,334.3325083,35.453689200000014,1075.8,6582.4,34.333,KW,KWSR,K/L,S17,Faint tones,,/data/audio/JASCO/ClipExport/true,1.1206892000000153
10,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,340.2192055,42.37417160000002,4175.7,5343.0,40.219,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,2.155171600000017
11,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,352.4926067,53.95851669999997,3935.0,5595.7,52.493,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.4655166999999665
12,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,356.0394034,57.22126549999997,4404.3,5318.9,56.039,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.182265499999971
13,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,362.5738906,64.01488619999996,613.7,6991.6,62.574,KW,KWSR,J,S1,Faint,,/data/audio/JASCO/ClipExport/true,1.4408861999999658
14,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,366.5147758,67.45096020000001,529.5,3682.3,66.515,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.9359602000000108
15,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,371.059109,71.6255022,3213.0,4608.9,71.059,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.5665022000000022
16,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,376.1822597,76.98249230000003,4079.4,6486.2,76.182,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.8004923000000304
17,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,381.1034471,82.5438861,2491.0,9602.9,81.103,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.4408861000000002
18,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,382.5566485,84.19493040000002,4945.8,8315.3,82.557,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.637930400000016
19,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,387.6797992,88.77605870000002,4837.5,5186.5,87.68,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.0960587000000146
20,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,398.2290632,100.1871273,4488.6,5427.2,98.229,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.958127300000001
21,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,416.3152725,117.09086180000004,5285.3,6019.0,116.315,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.7758618000000297
22,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,420.6256156,122.7195953,4714.7,5462.0,120.626,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,2.093595300000004
23,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,425.0049313,125.7069702,3709.2,6195.7,125.005,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.7019702000000052
24,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,425.9285763,127.04968920000002,4633.2,5828.8,125.929,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.1206892000000153
25,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,431.1748796,133.17007310000002,5149.5,5910.3,131.175,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.9950731000000133
26,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,434.2536962,135.30079760000004,1657.6,5067.9,134.254,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.0467976000000476
27,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,444.4335022,145.43153649999996,1603.3,3097.8,144.434,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.997536499999967
28,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,446.6502501,147.9307876,5040.8,5543.5,146.65,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.2807875999999965
29,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,463.5911372,165.06883190000002,4972.8,5285.3,163.591,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.4778319000000124
30,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,481.9398993,182.7158617,2160.3,3994.6,181.94,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.7758617000000072
31,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,500.5024669,202.398551,4782.6,5543.5,200.502,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.896550999999988
32,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,503.0270964,203.5196107,4551.6,5095.1,203.027,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,0.4926107000000002
33,JASCOAMARHYDROPHONEC000682_20171104T033328.359Z.wav,520.7116086,221.77111290000005,4375.0,5095.1,220.712,KW,KWSR?,,,Faint tones,,/data/audio/JASCO/ClipExport/true,1.0591129000000592
34,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,600.0492611,0.7632853999999943,883.2,7839.7,0.049,KW,KWSR,K/L,S16,,,/data/audio/JASCO/ClipExport/true,0.7142853999999943
35,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,601.3546793,3.2515509999999312,1046.2,8831.5,1.355,KW,KWSR,K/L,S17,,,/data/audio/JASCO/ClipExport/true,1.8965509999999317
36,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,604.4581263,5.36932970000001,1046.2,7554.3,4.458,KW,KWSR,K/L,S17,,,/data/audio/JASCO/ClipExport/true,0.9113297000000102
37,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,606.2807857,6.921393899999935,2214.7,5733.7,6.281,KW,KWSR,K/L,S16,faint,,/data/audio/JASCO/ClipExport/true,0.6403938999999355
38,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,606.9262916,8.428462499999979,720.1,12377.7,6.926,KW,KWSR,K/L,S17,There are two variable calls overlapping with S17,,/data/audio/JASCO/ClipExport/true,1.5024624999999787
39,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,609.3677968,10.488689200000016,2296.2,7106.0,9.368,KW,KWSR,K/L,S16,faint,,/data/audio/JASCO/ClipExport/true,1.1206892000000153
40,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,610.6773357,11.7114824,923.9,13451.1,10.677,KW,KWSR,K/L,S16,,,/data/audio/JASCO/ClipExport/true,1.0344824000000017
41,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,613.6771024,14.785374000000026,1209.2,7038.0,13.677,KW,KWSR,K/L,S16,,,/data/audio/JASCO/ClipExport/true,1.1083740000000262
42,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,616.0891441,16.84023129999997,747.3,8016.3,16.089,KW,KWSR,K/L,S16,,,/data/audio/JASCO/ClipExport/true,0.7512312999999722
43,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,616.9758433,17.850383899999997,720.1,7975.5,16.976,KW,KWSR,K/L,S16,,,/data/audio/JASCO/ClipExport/true,0.874383899999998
44,JASCOAMARHYDROPHONEC000682_20171104T051828.391Z.wav,618.0595867,19.20531980000004,665.8,9429.3,18.06,KW,KWSR,K/L,S16,,,/data/audio/JASCO/ClipExport/true,1.1453198000000384
